Tick PD1 PD2 PD3
0499 119 185 185
0500 119 185 185
0501 119 185 185
0502 119 185 185
0503 119 185 185
0504 119 185 185
0505 119 185 185
0506 119 185 185
0507 119 185 185
0508 119 185 185
0509 119 185 185
0510 119 185 185
0511 119 185 185
0512 119 185 185
0513 119 185 185
0514 119 185 185
0515 119 185 185
0516 119 185 185
0517 119 185 185
0518 119 185 185
0519 118 185 185
0520 119 185 185
0521 119 185 185
0522 119 185 185
0523 119 185 185
0524 118 185 185
0525 119 185 185
0526 119 185 185
0527 119 185 185
0528 119 185 185
0529 118 185 185
0530 119 185 185
0531 119 185 185
0532 119 185 185
0533 119 185 185
0534 118 185 185
0535 119 185 185
0536 119 185 185
0537 118 185 185
0538 119 185 185
0539 118 185 185
0540 118 185 185
0541 118 185 185
0542 118 185 185
0543 118 185 185
0544 118 185 185
0545 118 185 185
0546 118 185 185
0547 117 185 185
0548 117 185 185
0549 117 185 185
0550 117 185 185
0551 116 185 185
0552 115 185 185
0553 115 185 185
0554 114 185 185
0555 113 185 185
0556 113 185 185
0557 111 185 185
0558 110 185 185
0559 108 185 185
0560 107 185 185
0561 105 185 185
0562 103 185 185
0563 101 185 185
0564 098 185 185
0565 096 185 185
0566 093 185 185
0567 090 185 185
0568 087 185 185
0569 084 185 185
0570 082 185 185
0571 079 185 185
0572 075 185 185
0573 073 185 185
0574 070 185 185
0575 067 185 185
0576 064 185 185
0577 062 185 185
0578 059 185 185
0579 057 185 185
0580 055 185 185
0581 053 185 185
0582 051 185 185
0583 049 185 185
0584 048 185 185
0585 046 185 185
0586 045 185 185
0587 043 185 185
0588 042 185 185
0589 040 185 185
0590 038 185 185
0591 036 185 185
0592 034 185 185
0593 033 185 185
0594 032 185 185
0595 031 185 185
0596 030 185 185
0597 029 185 185
0598 029 185 185
0599 028 185 185
0600 028 185 185
0601 028 185 185
0602 027 185 185
0603 027 185 185
0604 027 185 185
0605 027 185 185
0606 026 185 185
0607 026 185 185
0608 026 185 185
0609 026 185 185
0610 026 185 185
0611 026 185 185
0612 026 185 185
0613 026 185 185
0614 025 185 185
0615 025 185 185
0616 025 185 185
0617 025 185 185
0618 025 185 185
0619 025 185 185
0620 025 185 185
0621 025 185 185
0622 025 185 185
0623 025 185 185
0624 025 185 185
0625 025 185 185
0626 025 185 185
0627 025 185 185
0628 025 185 185
0629 025 185 185
0630 025 185 185
0631 025 185 185
0632 025 185 185
0633 025 185 185
0634 025 185 185
0635 025 185 185
0636 025 185 185
0637 025 185 185
0638 025 185 185
0639 025 185 185
0640 025 185 185
0641 025 185 185
0642 025 185 185
0643 025 185 185
0644 025 185 185
0645 025 185 185
0646 025 185 185
0647 025 185 185
0648 025 185 185
0649 025 185 185
0650 025 185 185
0651 025 185 185
0652 025 185 185
0653 025 185 185
0654 025 185 185
0655 025 185 185
0656 025 185 185
0657 025 185 185
0658 025 185 185
0659 025 185 185
0660 025 185 185
0661 025 185 185
0662 025 185 185
0663 025 185 185
0664 025 185 185
0665 025 185 185
0666 025 185 185
0667 025 185 185
0668 025 185 185
0669 025 185 185
0670 025 185 185
0671 025 185 185
0672 025 185 185
0673 025 185 185
0674 026 185 185
0675 026 185 185
0676 026 185 185
0677 026 185 185
0678 026 185 185
0679 027 185 185
0680 027 185 185
0681 027 185 185
0682 027 185 185
0683 028 185 185
0684 028 185 185
0685 029 185 185
0686 029 185 185
0687 030 185 185
0688 031 185 185
0689 032 185 185
0690 033 185 185
0691 034 185 185
0692 035 185 185
0693 036 185 185
0694 038 185 185
0695 040 185 185
0696 042 185 185
0697 044 185 185
0698 048 185 185
0699 052 185 185
0700 057 185 185
0701 062 185 185
0702 067 185 185
0703 072 185 185
0704 078 185 185
0705 083 185 185
0706 089 185 185
0707 095 185 185
0708 100 185 185
0709 105 185 185
0710 110 185 185
0711 113 185 185
0712 117 185 185
0713 121 185 185
0714 124 185 185
0715 127 185 185
0716 129 185 185
0717 132 185 185
0718 134 185 185
0719 135 185 185
0720 137 185 185
0721 138 185 185
0722 139 185 185
0723 141 185 185
0724 141 185 185
0725 142 185 185
0726 142 185 185
0727 143 185 185
0728 144 185 185
0729 144 185 185
0730 144 185 185
0731 145 186 185
0732 144 185 185
0733 145 186 185
0734 145 186 185
0735 146 186 185
0736 146 186 185
0737 146 186 185
0738 146 185 185
0739 146 185 185
0740 146 185 185
0741 146 186 185
0742 146 185 185
0743 147 186 185
0744 146 185 185
0745 147 185 185
0746 147 185 185
0747 146 185 185
0748 147 185 185
0749 147 185 185
0750 147 186 185
0751 147 186 185
0752 147 185 185
0753 147 185 185
0754 147 185 185
0755 147 185 185
0756 147 185 185
0757 147 185 185
0758 147 185 185
0759 147 185 185
0760 147 185 185
0761 147 186 185
0762 147 185 185
0763 147 185 185
0764 147 185 185
0765 147 185 185
0766 147 186 185
0767 147 185 185
0768 147 185 185
0769 147 185 185
0770 147 185 185
0771 147 185 185
0772 146 185 185
0773 147 185 185
0774 146 185 185
0775 146 185 185
0776 146 185 185
0777 146 185 185
0778 146 185 185
0779 145 185 185
0780 145 185 185
0781 145 185 185
0782 144 185 185
0783 144 185 185
0784 142 185 185
0785 142 185 185
0786 141 185 185
0787 139 185 185
0788 138 185 185
0789 137 185 185
0790 135 186 185
0791 134 185 185
0792 131 185 185
0793 130 185 185
0794 128 185 185
0795 126 185 185
0796 124 185 185
0797 122 185 185
0798 120 185 185
0799 117 185 185
0800 115 185 185
0801 113 185 185
0802 111 185 185
0803 109 185 185
0804 107 185 185
0805 105 185 185
0806 103 185 185
0807 100 185 185
0808 099 185 185
0809 097 185 185
0810 093 185 185
0811 086 185 185
0812 078 185 185
0813 071 185 185
0814 064 185 185
0815 058 185 185
0816 052 185 185
0817 047 185 185
0818 043 185 185
0819 040 185 185
0820 037 185 185
0821 035 185 185
0822 033 185 185
0823 031 185 185
0824 030 185 185
0825 030 185 185
0826 029 185 185
0827 028 185 185
0828 028 185 185
0829 028 185 185
0830 027 185 185
0831 027 185 185
0832 027 185 185
0833 026 185 185
0834 026 185 185
0835 026 185 185
0836 026 185 185
0837 025 185 185
0838 025 185 185
0839 025 185 185
0840 025 185 185
0841 025 185 185
0842 025 185 185
0843 025 185 185
0844 025 185 185
0845 025 185 185
0846 025 185 185
0847 025 185 185
0848 025 185 185
0849 025 185 185
0850 025 185 185
0851 025 185 185
0852 025 185 185
0853 025 185 185
0854 024 185 185
0855 024 185 185
0856 024 185 185
0857 024 185 185
0858 024 185 185
0859 024 185 185
0860 024 185 185
0861 024 185 185
0862 024 185 185
0863 024 185 185
0864 024 185 185
0865 024 185 185
0866 024 185 185
0867 024 185 185
0868 024 185 185
0869 024 185 185
0870 024 185 185
0871 024 185 185
0872 024 185 185
0873 024 185 185
0874 024 185 185
0875 024 185 185
0876 024 185 185
0877 024 185 185
0878 024 185 185
0879 024 185 185
0880 024 185 185
0881 024 185 185
0882 024 185 185
0883 024 185 185
0884 024 185 185
0885 024 185 185
0886 024 185 185
0887 024 185 185
0888 024 185 185
0889 024 185 185
0890 024 185 185
0891 024 185 185
0892 024 185 185
0893 024 185 185
0894 024 185 185
0895 024 185 185
0896 024 185 185
0897 024 185 185
0898 024 185 185
0899 024 185 185
0900 024 185 185
0901 024 185 185
0902 024 185 185
0903 024 185 185
0904 024 185 185
0905 024 185 185
0906 024 185 185
0907 024 185 185
0908 024 185 185
0909 024 185 185
0910 024 185 185
0911 024 185 185
0912 024 185 185
0913 024 185 185
0914 024 185 185
0915 024 185 185
0916 024 185 185
0917 024 185 185
0918 024 185 185
0919 024 185 185
0920 024 185 185
0921 024 185 185
0922 024 185 185
0923 024 185 185
0924 024 185 185
0925 024 185 185
0926 024 185 185
0927 024 185 185
0928 024 185 185
0929 024 185 185
0930 024 185 185
0931 024 185 185
0932 024 185 185
0933 024 185 185
0934 024 185 185
0935 023 185 185
0936 023 185 185
0937 023 185 185
0938 023 185 185
0939 023 185 185
0940 023 185 185
0941 023 185 185
0942 023 185 185
0943 023 185 185
0944 023 185 185
0945 023 185 185
0946 023 185 185
0947 023 185 185
0948 023 185 185
0949 023 185 185
0950 023 185 185
0951 023 185 185
0952 023 185 185
0953 023 185 185
0954 023 185 185
0955 023 185 185
0956 023 185 185
0957 023 185 185
0958 023 185 185
0959 022 185 185
0960 022 185 185
0961 022 185 185
0962 022 185 185
0963 022 185 185
0964 022 185 185
0965 021 185 185
0966 021 185 185
0967 021 185 185
0968 021 185 185
0969 021 185 185
0970 020 185 185
0971 020 185 185
0972 020 185 185
0973 020 185 185
0974 019 185 185
0975 019 185 185
0976 019 185 185
0977 019 185 185
0978 018 185 185
0979 018 185 185
0980 018 185 185
0981 018 185 185
0982 017 185 185
0983 017 185 185
0984 017 185 185
0985 017 185 185
0986 016 185 185
0987 016 185 185
0988 016 185 185
0989 015 185 185
0990 015 185 185
0991 015 185 185
0992 014 185 185
0993 014 185 185
0994 014 185 185
0995 014 185 185
0996 013 185 185
0997 013 185 185
0998 013 185 185
0999 013 185 185
1000 013 185 185
1001 012 185 185
1002 012 185 185
1003 012 185 185
1004 012 185 185
1005 011 185 185
1006 011 185 185
1007 011 185 185
1008 011 185 185
1009 011 185 185
1010 011 185 185
1011 010 185 185
1012 010 185 185
1013 010 185 185
1014 010 185 185
1015 010 185 185
1016 010 185 185
1017 010 185 185
1018 010 185 185
1019 010 185 185
1020 010 185 185
1021 010 185 185
1022 010 185 185
1023 010 185 185
1024 010 185 185
1025 010 185 185
1026 010 185 185
1027 010 185 185
1028 010 185 185
1029 010 185 185
1030 010 185 185
1031 010 185 185
1032 010 185 185
1033 010 185 185
1034 010 185 185
1035 010 185 185
1036 010 185 185
1037 010 185 185
1038 010 185 185
1039 010 185 185
1040 010 185 185
1041 010 185 185
1042 010 185 185
1043 010 185 185
1044 010 185 185
1045 010 185 185
1046 010 185 185
1047 010 185 185
1048 010 185 185
1049 010 185 185
1050 010 185 185
1051 010 185 185
1052 010 185 185
1053 010 185 185
1054 010 185 185
1055 010 185 185
1056 010 185 185
1057 010 185 185
1058 010 185 185
1059 010 185 185
1060 010 185 185
1061 010 185 185
1062 010 185 185
1063 010 185 185
1064 010 185 185
1065 010 185 185
1066 010 185 185
1067 010 185 185
1068 010 185 185
1069 010 185 185
1070 010 185 185
1071 010 185 185
1072 010 185 185
1073 010 185 185
1074 010 185 185
1075 010 185 185
1076 010 185 185
1077 010 185 185
1078 010 185 185
1079 010 185 185
1080 010 185 185
1081 010 185 185
1082 010 185 185
1083 010 185 185
1084 010 185 185
1085 010 185 185
1086 010 185 185
1087 010 185 185
1088 010 185 185
1089 010 185 185
1090 010 185 185
1091 010 185 185
1092 010 185 185
1093 010 185 185
1094 010 185 185
1095 010 185 185
1096 010 185 185
1097 010 185 185
1098 010 185 185
1099 010 185 185
1100 010 185 185
1101 010 185 185
1102 010 185 185
1103 010 185 185
1104 010 185 185
1105 010 185 185
1106 010 185 185
1107 010 185 185
1108 010 185 185
1109 010 185 185
1110 010 185 185
1111 010 185 185
1112 010 185 185
1113 011 185 185
1114 011 185 185
1115 011 185 185
1116 011 185 185
1117 011 185 185
1118 011 185 185
1119 011 185 185
1120 011 185 185
1121 012 185 185
1122 012 185 185
1123 012 185 185
1124 012 185 185
1125 012 185 185
1126 013 185 185
1127 013 185 185
1128 013 185 185
1129 013 185 185
1130 014 185 185
1131 014 185 185
1132 014 185 185
1133 014 185 185
1134 015 185 185
1135 015 185 185
1136 015 185 185
1137 016 185 185
1138 016 185 185
1139 016 185 185
1140 017 185 185
1141 017 185 185
1142 017 185 185
1143 018 185 185
1144 018 185 185
1145 018 185 185
1146 019 185 185
1147 019 185 185
1148 019 185 185
1149 020 185 185
1150 020 185 185
1151 021 185 185
1152 022 185 185
1153 024 185 185
1154 025 185 185
1155 026 185 185
1156 028 185 185
1157 029 185 185
1158 030 185 185
1159 032 185 185
1160 033 185 185
1161 034 185 185
1162 035 185 185
1163 036 185 185
1164 037 185 185
1165 037 185 185
1166 038 185 185
1167 039 185 185
1168 039 185 185
1169 040 185 185
1170 040 185 185
1171 041 185 185
1172 041 185 185
1173 041 185 185
1174 042 185 185
1175 042 185 185
1176 042 185 185
1177 042 185 185
1178 042 185 185
1179 043 185 185
1180 043 185 185
1181 043 185 185
1182 043 185 185
1183 043 185 185
1184 043 185 185
1185 043 185 185
1186 043 185 185
1187 043 185 185
1188 043 185 185
1189 044 185 185
1190 044 185 185
1191 044 185 185
1192 044 185 185
1193 044 185 185
1194 044 185 185
1195 044 185 185
1196 044 185 185
1197 044 185 185
1198 044 185 185
1199 044 185 185
1200 044 185 185
1201 044 185 185
1202 044 185 185
1203 044 185 185
1204 044 185 185
1205 044 185 185
1206 044 185 185
1207 044 185 185
1208 044 185 185
1209 044 185 185
1210 044 185 185
1211 044 185 185
1212 044 185 185
1213 044 185 185
1214 044 185 185
1215 044 185 185
1216 044 185 185
1217 044 185 185
1218 044 185 185
1219 044 185 185
1220 044 185 185
1221 044 185 185
1222 044 185 185
1223 044 185 185
1224 044 185 185
1225 044 185 185
1226 044 185 185
1227 044 185 185
1228 044 185 185
1229 044 185 185
1230 044 185 185
1231 044 185 185
1232 044 185 185
1233 044 185 185
1234 044 185 185
1235 044 185 185
1236 044 185 185
1237 044 185 185
1238 044 185 185
1239 044 185 185
1240 044 185 185
1241 044 185 185
1242 044 185 185
1243 044 185 185
1244 044 185 185
1245 044 185 185
1246 044 185 185
1247 044 185 185
1248 044 185 185
1249 044 185 185
1250 044 185 185
1251 044 185 185
1252 044 185 185
1253 044 185 185
1254 044 185 185
1255 044 185 185
1256 044 185 185
1257 044 185 185
1258 044 185 185
1259 044 185 185
1260 044 185 185
1261 044 185 185
1262 044 185 185
1263 044 185 185
1264 044 185 185
1265 044 185 185
1266 044 185 185
1267 044 185 185
1268 044 185 185
1269 044 185 185
1270 044 185 185
1271 044 185 185
1272 044 185 185
1273 044 185 185
1274 044 185 185
1275 044 185 185
1276 044 185 185
1277 044 185 185
1278 044 185 185
1279 044 185 185
1280 044 185 185
1281 044 185 185
1282 044 185 185
1283 044 185 185
1284 044 185 185
1285 044 185 185
1286 044 185 185
1287 044 185 185
1288 044 185 185
1289 044 185 185
1290 044 185 185
1291 044 185 185
1292 044 185 185
1293 044 185 185
1294 044 185 185
1295 044 185 185
1296 044 185 185
1297 044 185 185
1298 044 185 185
1299 044 185 185
1300 044 185 185
1301 044 185 185
1302 044 185 185
1303 045 185 185
1304 045 185 185
1305 045 185 185
1306 045 185 185
1307 045 185 185
1308 046 185 185
1309 046 185 185
1310 046 185 185
1311 046 185 185
1312 046 185 185
1313 047 185 185
1314 047 185 185
1315 048 185 185
1316 049 185 185
1317 049 185 185
1318 050 185 185
1319 051 185 185
1320 051 185 185
1321 052 185 185
1322 053 185 185
1323 054 185 185
1324 055 185 185
1325 056 185 185
1326 058 185 185
1327 059 185 185
1328 061 185 185
1329 063 185 185
1330 065 185 185
1331 067 185 185
1332 068 185 185
1333 070 185 185
1334 072 185 185
1335 074 185 185
1336 075 185 185
1337 076 185 185
1338 078 185 185
1339 079 185 185
1340 080 185 185
1341 081 185 185
1342 082 185 185
1343 083 185 185
1344 084 185 185
1345 085 185 185
1346 085 185 185
1347 086 185 185
1348 086 185 185
1349 087 185 185
1350 087 185 185
1351 088 185 185
1352 089 185 185
1353 089 185 185
1354 090 185 185
1355 090 185 185
1356 091 185 185
1357 091 185 185
1358 091 185 185
1359 091 185 185
1360 091 185 185
1361 091 185 185
1362 091 185 185
1363 091 185 185
1364 091 185 185
1365 091 185 185
1366 091 185 185
1367 092 185 185
1368 091 185 185
1369 092 185 185
1370 092 185 185
1371 091 185 185
1372 092 185 185
1373 092 185 185
1374 092 185 185
1375 092 185 185
1376 092 185 185
1377 092 185 185
1378 092 185 185
1379 092 185 185
1380 092 185 185
1381 092 185 185
1382 092 185 185
1383 092 185 185
1384 092 185 185
1385 092 185 185
1386 092 185 185
1387 092 185 185
1388 092 185 185
1389 092 185 185
1390 092 185 185
1391 092 185 185
1392 092 185 185
1393 092 185 185
1394 092 185 185
1395 092 185 185
1396 092 185 185
1397 092 185 185
1398 092 185 185
1399 092 185 185
1400 092 185 185
1401 092 185 185
1402 092 185 185
1403 092 185 185
1404 092 185 185
1405 092 185 185
1406 092 185 185
1407 092 185 185
1408 092 185 185
1409 092 185 185
1410 092 185 185
1411 092 185 185
1412 092 185 185
1413 092 185 185
1414 092 185 185
1415 092 185 185
1416 092 185 185
1417 092 185 185
1418 092 185 185
1419 092 185 185
1420 092 185 185
1421 092 185 185
1422 092 185 185
1423 092 185 185
1424 092 185 185
1425 092 185 185
1426 092 185 185
1427 092 185 185
1428 092 185 185
1429 092 185 185
1430 092 185 185
1431 092 185 185
1432 092 185 185
1433 092 185 185
1434 092 185 185
1435 092 185 185
1436 092 185 185
1437 092 185 185
1438 092 185 185
1439 092 185 185
1440 092 185 185
1441 092 185 185
1442 093 185 185
1443 092 185 185
1444 093 185 185
1445 092 185 185
1446 093 185 185
1447 093 185 185
1448 092 185 185
1449 093 185 185
1450 093 185 185
1451 093 185 185
1452 093 185 185
1453 093 185 185
1454 093 185 185
1455 092 185 185
1456 093 185 185
1457 092 185 185
1458 092 185 185
1459 092 185 185
1460 092 185 185
1461 092 185 185
1462 092 185 185
1463 092 185 185
1464 092 185 185
1465 092 185 185
1466 092 185 185
1467 092 185 185
1468 092 185 185
1469 092 185 185
1470 092 185 185
1471 092 185 185
1472 092 185 185
1473 092 185 185
1474 092 185 185
1475 092 185 185
1476 092 185 185
1477 092 185 185
1478 092 185 185
1479 092 185 185
1480 092 185 185
1481 092 185 185
1482 092 185 185
1483 092 185 185
1484 093 185 185
1485 093 185 185
1486 093 185 185
1487 094 185 185
1488 094 185 185
1489 095 185 185
1490 095 185 185
1491 096 185 185
1492 096 185 185
1493 097 185 185
1494 098 185 185
1495 098 185 185
1496 099 185 185
1497 100 185 185
1498 101 185 185
1499 101 185 185
1500 102 185 185
1501 104 185 185
1502 108 185 185
1503 112 185 185
1504 116 185 185
1505 120 185 185
1506 125 185 185
1507 129 186 185
1508 132 186 185
1509 136 185 185
1510 138 186 185
1511 141 185 185
1512 143 186 185
1513 144 185 185
1514 146 186 185
1515 147 185 185
1516 148 185 185
1517 148 186 185
1518 148 185 185
1519 148 185 185
1520 148 185 185
1521 149 185 185
1522 149 185 185
1523 149 186 185
1524 149 185 185
1525 148 185 185
1526 149 185 185
1527 148 185 185
1528 148 185 185
1529 148 185 185
1530 148 185 185
1531 149 185 185
1532 148 185 185
1533 148 185 185
1534 148 185 185
1535 148 185 185
1536 148 185 185
1537 148 185 185
1538 149 185 185
1539 148 185 185
1540 148 186 185
1541 149 185 185
1542 148 186 185
1543 148 185 185
1544 148 185 185
1545 148 185 185
1546 149 186 185
1547 148 185 185
1548 148 185 185
1549 148 185 185
1550 148 185 185
1551 148 185 185
1552 148 185 185
1553 148 185 185
1554 148 185 185
1555 148 185 185
1556 148 185 185
1557 148 186 185
1558 148 185 185
1559 148 185 185
1560 148 185 185
1561 149 185 185
1562 148 185 185
1563 148 185 185
1564 148 185 185
1565 148 186 185
1566 149 185 185
1567 148 185 185
1568 148 185 185
1569 148 185 185
1570 148 185 185
1571 149 185 185
1572 148 185 185
1573 149 185 185
1574 148 185 185
1575 148 185 185
1576 149 186 185
1577 148 185 185
1578 149 185 185
1579 149 185 185
1580 148 185 185
1581 149 185 185
1582 148 186 185
1583 149 185 185
1584 149 185 185
1585 148 185 185
1586 149 185 185
1587 148 185 185
1588 149 185 185
1589 149 185 185
1590 149 185 185
1591 149 185 185
1592 148 185 185
1593 149 186 185
1594 149 185 185
1595 148 185 185
1596 149 185 185
1597 148 185 185
1598 149 185 185
1599 149 185 185
1600 148 185 185
1601 149 185 185
